740.38	24.41	132756
738.75	24.35	133003
739.07	24.35	133250
738.38	24.31	133497
735.78	24.21	133744
736.14	24.21	133992
734.53	24.14	134239
733.93	24.11	134487
733.32	24.08	134734
732.70	24.04	134981
732.07	24.01	135228
731.43	23.98	135475
731.74	23.98	135722
730.07	23.91	135969
729.41	23.87	136217
728.74	23.84	136464
728.07	23.81	136711
727.40	23.77	136959
726.74	23.74	137206
725.11	23.67	137453
725.45	23.67	137700
724.77	23.64	137947
723.14	23.57	138194
723.47	23.57	138441
721.83	23.50	138689
721.19	23.47	138936
721.51	23.47	139183
719.86	23.40	139431
720.16	23.40	139678
719.45	23.37	139925
717.80	23.30	140172
717.16	23.27	140419
716.50	23.23	140667
716.81	23.23	140914
716.09	23.20	141161
716.34	23.20	141408
715.58	23.16	141655
713.88	23.10	141903
714.15	23.10	142150
714.37	23.10	142397
713.58	23.06	142644
712.81	23.03	142891
712.06	22.99	143139
711.33	22.96	143386
710.61	22.93	143633
711.81	22.96	143880
710.04	22.89	144127
709.31	22.86	144375
709.54	22.86	144622
708.78	22.83	144869
708.03	22.79	145116
707.29	22.76	145363
706.57	22.72	145611
706.81	22.72	145858
706.05	22.69	146105
705.31	22.66	146352
705.53	22.66	146600
704.76	22.62	146847
704.00	22.59	147094
704.21	22.59	147341
703.43	22.56	147588
703.61	22.56	147836
702.81	22.52	148083
702.03	22.49	148330
702.22	22.49	148578
701.42	22.45	148825
700.64	22.42	149072
700.84	22.42	149319
701.00	22.42	149566
701.13	22.42	149814
700.27	22.39	150061
699.45	22.35	150308
698.65	22.32	150555
698.83	22.32	150802
698.02	22.29	151049
697.24	22.25	151297
697.44	22.25	151544
696.65	22.22	151791
696.84	22.22	152039
696.05	22.18	152287
696.22	22.18	152534
695.40	22.15	152781
694.61	22.12	153029
694.79	22.12	153276
693.99	22.08	153523
695.11	22.12	153771
693.29	22.05	154018
693.47	22.05	154265
692.65	22.01	154512
691.87	21.98	154759
692.06	21.98	155006
691.26	21.95	155254
692.39	21.98	155501
690.58	21.91	155748
689.80	21.88	155995
690.96	21.91	156243
690.11	21.88	156490
690.24	21.88	156737
689.40	21.85	156984
689.53	21.85	157231
688.69	21.81	157479
688.83	21.81	157726
688.00	21.78	157973
689.09	21.81	158220
688.20	21.78	158467
687.35	21.74	158715
687.49	21.74	158962
686.64	21.71	159209
687.74	21.74	159456
686.85	21.71	159703
686.95	21.71	159951
686.07	21.68	160198
686.19	21.68	160445
685.33	21.64	160692
684.51	21.61	160939
684.67	21.61	161187
685.76	21.64	161434
684.86	21.61	161681
684.96	21.61	161928
684.08	21.58	162175
683.24	21.54	162422
684.34	21.58	162670
684.40	21.58	162917
684.44	21.58	163164
684.47	21.58	163411
683.54	21.54	163658
684.57	21.58	163905
683.61	21.54	164152
683.66	21.54	164399
684.65	21.58	164647
683.68	21.54	164894
684.67	21.58	165141
683.69	21.54	165388
683.72	21.54	165635
683.74	21.54	165883
682.81	21.51	166130
682.88	21.51	166377
683.90	21.54	166624
683.90	21.54	166871
682.95	21.51	167119
682.99	21.51	167366
683.04	21.51	167613
683.07	21.51	167861
683.09	21.51	168108
683.11	21.51	168355
683.12	21.51	168602
683.14	21.51	168849
683.15	21.51	169096
682.20	21.47	169343
682.26	21.47	169591
682.31	21.47	169838
682.35	21.47	170085
683.34	21.51	170332
683.31	21.51	170580
683.29	21.51	170827
683.26	21.51	171074
682.29	21.47	171321
682.32	21.47	171568
682.34	21.47	171815
682.37	21.47	172062
683.34	21.51	172310
681.41	21.44	172557
682.45	21.47	172804
682.47	21.47	173051
682.48	21.47	173298
682.49	21.47	173545
682.49	21.47	173792
681.53	21.44	174039
682.54	21.47	174287
682.53	21.47	174534
682.53	21.47	174781
682.52	21.47	175028
682.51	21.47	175276
682.50	21.47	175523
681.54	21.44	175770
682.55	21.47	176017
682.53	21.47	176264
682.52	21.47	176511
681.56	21.44	176759
681.61	21.44	177006
681.65	21.44	177253
681.69	21.44	177500
682.68	21.47	177747
682.65	21.47	177995
682.61	21.47	178242
682.59	21.47	178489
682.57	21.47	178736
682.54	21.47	178983
682.52	21.47	179231
682.50	21.47	179478
682.49	21.47	179725
682.48	21.47	179972
683.43	21.51	180219
682.42	21.47	180467
682.43	21.47	180714
682.44	21.47	180961
683.39	21.51	181208
683.34	21.51	181455
683.30	21.51	181703
683.26	21.51	181950
683.23	21.51	182197
683.21	21.51	182444
683.19	21.51	182691
683.17	21.51	182939
683.16	21.51	183186
682.20	21.47	183433
683.21	21.51	183680
683.20	21.51	183927
683.20	21.51	184175
683.19	21.51	184422
684.14	21.54	184669
683.12	21.51	184916
683.12	21.51	185163
684.08	21.54	185411
684.02	21.54	185658
